Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D10,SK6805-EC15,SK6805-EC15,17.8,-44.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,61.0,-44.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,17.8,-63.688566,90.0,top
D10,SK6805-EC15,SK6805-EC15,61.0,-83.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,104.2,-83.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,104.2,-44.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,17.8,-24.688566,90.0,top
D10,SK6805-EC15,SK6805-EC15,39.4,-83.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,82.6,-83.188566,90.0,top
D11,SK6805-EC15,SK6805-EC15,79.475,-81.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,101.075,-81.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,101.075,-61.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,57.875,-42.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,36.275,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,14.675,-81.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,36.275,-61.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,57.875,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,14.675,-42.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,79.475,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,57.875,-61.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,79.475,-61.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,36.275,-81.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,14.675,-61.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,101.075,-42.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,14.675,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,101.075,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,57.875,-81.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,36.275,-42.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,79.475,-42.384347,90.0,top
D12,SK6805-EC15,SK6805-EC15,76.63125,-40.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,33.43125,-40.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,98.23125,-21.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,11.83125,-40.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,76.63125,-60.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,33.43125,-21.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,98.23125,-79.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,33.43125,-60.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,11.83125,-60.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,33.43125,-79.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,11.83125,-21.242507,90.0,top
