Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D15,SK6805-EC15,SK6805-EC15,57.577837,-19.322522,-90.0,top
D15,SK6805-EC15,SK6805-EC15,14.377837,-38.822522,-90.0,top
D15,SK6805-EC15,SK6805-EC15,14.377837,-58.322522,-90.0,top
D16,SK6805-EC15,SK6805-EC15,37.725357,-36.168005,0.0,top
D16,SK6805-EC15,SK6805-EC15,37.725357,-55.668005,0.0,top
D16,SK6805-EC15,SK6805-EC15,16.125357,-36.168005,0.0,top
D16,SK6805-EC15,SK6805-EC15,37.725357,-16.668005,0.0,top
D16,SK6805-EC15,SK6805-EC15,59.325357,-36.168005,0.0,top
D16,SK6805-EC15,SK6805-EC15,59.325357,-16.668005,0.0,top
D16,SK6805-EC15,SK6805-EC15,16.125357,-16.668005,0.0,top
D16,SK6805-EC15,SK6805-EC15,16.125357,-55.668005,0.0,top
D16,SK6805-EC15,SK6805-EC15,59.325357,-55.668005,0.0,top
D17,SK6805-EC15,SK6805-EC15,62.526664,-16.668005,0.0,top
D17,SK6805-EC15,SK6805-EC15,19.326664,-36.168005,0.0,top
D17,SK6805-EC15,SK6805-EC15,19.326664,-16.668005,0.0,top
D17,SK6805-EC15,SK6805-EC15,62.526664,-36.168005,0.0,top
D17,SK6805-EC15,SK6805-EC15,62.526664,-55.668005,0.0,top
D17,SK6805-EC15,SK6805-EC15,40.926664,-36.168005,0.0,top
D17,SK6805-EC15,SK6805-EC15,40.926664,-55.668005,0.0,top
D17,SK6805-EC15,SK6805-EC15,19.326664,-55.668005,0.0,top
D17,SK6805-EC15,SK6805-EC15,40.926664,-16.668005,0.0,top
D18,SK6805-EC15,SK6805-EC15,39.415165,-33.601132,0.0,top
D18,SK6805-EC15,SK6805-EC15,61.015165,-53.101132,0.0,top
D18,SK6805-EC15,SK6805-EC15,61.015165,-14.101132,0.0,top
D18,SK6805-EC15,SK6805-EC15,17.815165,-33.601132,0.0,top
D18,SK6805-EC15,SK6805-EC15,17.815165,-53.101132,0.0,top
D18,SK6805-EC15,SK6805-EC15,39.415165,-53.101132,0.0,top
D18,SK6805-EC15,SK6805-EC15,39.415165,-14.101132,0.0,top
D18,SK6805-EC15,SK6805-EC15,17.815165,-14.101132,0.0,top
D18,SK6805-EC15,SK6805-EC15,61.015165,-33.601132,0.0,top
D19,SK6805-EC15,SK6805-EC15,64.16119,-33.601132,-90.0,top
D19,SK6805-EC15,SK6805-EC15,64.16119,-53.101132,-90.0,top
D19,SK6805-EC15,SK6805-EC15,64.16119,-14.101132,-90.0,top
D19,SK6805-EC15,SK6805-EC15,20.96119,-53.101132,-90.0,top
